Country Name,Country Code,GDP,Population
Malta,MLT,29416.23061,502653
Myanmar,MMR,1407.813143,54045420
Middle East & North Africa (excluding high income),MNA,0,389457086
Montenegro,MNE,8832.036836,622137
Mongolia,MNG,4295.235025,3225167
Northern Mariana Islands,MNP,0,57216
Mozambique,MOZ,491.8047231,30366036
Mauritania,MRT,1677.919253,4525696
Mauritius,MUS,11203.54058,1265711
Malawi,MWI,411.5523404,18628747
Malaysia,MYS,11414.83766,31949777
North America,NAC,63181.79576,365892703
Namibia,NAM,4957.458006,2494530
New Caledonia,NCL,0,287800
Niger,NER,554.6009687,23310715
Nigeria,NGA,2229.858696,200963599
Nicaragua,NIC,1912.903745,6545502
Netherlands,NLD,52447.83144,17332850
Norway,NOR,75419.63487,5347896
Nepal,NPL,1071.050761,28608710
Nauru,NRU,9396.981967,12581
New Zealand,NZL,42084.35337,4917000
OECD members,OED,39399.04923,1359963500
Oman,OMN,15474.03248,4974986
Other small states,OSS,13981.58378,31360407
Pakistan,PAK,1284.702041,216565318
Panama,PAN,15731.01603,4246439
Peru,PER,6977.695784,32510453
Philippines,PHL,3485.084218,108116615
Palau,PLW,0,18008
Papua New Guinea,PNG,2845.180186,8776109
Poland,POL,15595.22703,37970874
Pre-demographic dividend,PRE,1472.385402,944902749
Puerto Rico,PRI,32873.71927,3193694
"Korea, Dem. People’s Rep.",PRK,0,25666161
Portugal,PRT,23145.04082,10269417
Paraguay,PRY,5414.799138,7044636
West Bank and Gaza,PSE,0,4685306
Pacific island small states,PSS,4192.973761,2493696
Post-demographic dividend,PST,45530.24815,1112914457
French Polynesia,PYF,0,279287
Qatar,QAT,64781.7332,2832067
Romania,ROU,12919.52964,19356544
Russian Federation,RUS,11584.99538,144373535
Rwanda,RWA,801.656187,12626950
South Asia,SAS,1959.917165,1835776742
Saudi Arabia,SAU,23139.79866,34268528
Sudan,SDN,441.5056034,42813238
Senegal,SEN,1446.830965,16296364
Singapore,SGP,65233.28244,5703569
Solomon Islands,SLB,2127.538508,669823
Sierra Leone,SLE,504.4625434,7813215
El Salvador,SLV,4187.250031,6453553
San Marino,SMR,0,33860
Somalia,SOM,0,15442905
Serbia,SRB,7402.354559,6944975
Sub-Saharan Africa (excluding high income),SSA,1573.013688,1105594562
South Sudan,SSD,0,11062113
Sub-Saharan Africa,SSF,1585.436468,1106957898
Small states,SST,12730.94449,41255484
Sao Tome and Principe,STP,1994.906467,215056
Suriname,SUR,6854.906561,581372
Slovak Republic,SVK,19329.0968,5454073
Slovenia,SVN,25739.24781,2087946
Sweden,SWE,51610.06606,10285453
Eswatini,SWZ,3837.026994,1148130
Sint Maarten (Dutch part),SXM,0,40733
Seychelles,SYC,17401.72151,97625
Syrian Arab Republic,SYR,0,17070135
Turks and Caicos Islands,TCA,0,38191
Chad,TCD,709.5403101,15946876
East Asia & Pacific (IDA & IBRD countries),TEA,8308.334363,2067984156
Europe & Central Asia (IDA & IBRD countries),TEC,8988.92805,460799505
Togo,TGO,675.5422133,8082366
Thailand,THA,7808.192916,69625582
Tajikistan,TJK,870.7875893,9321018
Turkmenistan,TKM,0,5942089
Latin America & the Caribbean (IDA & IBRD countries),TLA,8681.196686,630644770
Timor-Leste,TLS,1294.188934,1293119
Middle East & North Africa (IDA & IBRD countries),TMN,0,384771780
Tonga,TON,0,104494
South Asia (IDA & IBRD),TSA,1959.917165,1835776742
Sub-Saharan Africa (IDA & IBRD countries),TSS,1585.436468,1106957898
Trinidad and Tobago,TTO,17276.46545,1394973
Tunisia,TUN,3317.541013,11694719
Turkey,TUR,9042.492983,83429615
Tuvalu,TUV,4059.029996,11646
Tanzania,TZA,1122.12181,58005463
Uganda,UGA,776.7685759,44269594
Ukraine,UKR,3659.031312,44385155
Upper middle income,UMC,9040.045782,2855862789
Uruguay,URY,16190.12696,3461734
United States,USA,65118.35833,328239523
Uzbekistan,UZB,1724.841134,33580650
St. Vincent and the Grenadines,VCT,7463.537831,110589
"Venezuela, RB",VEN,0,28515829
British Virgin Islands,VGB,0,30030
Virgin Islands (U.S.),VIR,0,106631
Vietnam,VNM,2715.276036,96462106
Vanuatu,VUT,3058.065675,299882
World,WLD,11428.56985,7673533972
Samoa,WSM,4315.920675,197097
Kosovo,XKX,4417.50994,1794248
"Yemen, Rep.",YEM,0,29161922
South Africa,ZAF,6001.400814,58558270
Zambia,ZMB,1291.343357,17861030
Zimbabwe,ZWE,1463.98591,14645468
